Age,Turnover,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
33.0,Yes,Non-Travel,241.0,Hardware,16.0,3,Technical Degree,1,3505.0,1,Female,67,3.0,3,Manufacturing Director,1.0,Married,36809.0,294472.0,1.0,Y,Yes,18.0,1.0,1.0,80,4,35.0,4.0,4,13.0,2.0,8.0,11
35.0,Yes,Non-Travel,679.0,Support,7.0,2,Life Sciences,1,1129.0,3,Male,122,2.0,5,Research Director,2.0,Single,1690.0,32110.0,6.0,Y,Yes,5.0,4.0,1.0,80,1,5.0,1.0,1,4.0,3.0,3.0,4
27.0,Yes,Travel_Frequently,359.0,Hardware,50.0,1,Life Sciences,1,6305.0,4,Female,199,1.0,1,Sales Representative,3.0,Single,50883.0,865011.0,8.0,Y,Yes,7.0,2.0,4.0,80,4,10.0,4.0,2,4.0,2.0,4.0,2
44.0,No,Travel_Rarely,1133.0,Software,12.0,5,Life Sciences,1,4595.0,2,Female,150,2.0,4,Research Director,3.0,Divorced,11166.0,89328.0,5.0,Y,No,34.0,3.0,4.0,80,3,19.0,4.0,1,14.0,7.0,12.0,2
56.0,No,Travel_Rarely,118.0,Software,43.0,2,Human Resources,1,7203.0,2,Female,115,3.0,1,Developer,2.0,Married,42537.0,1063425.0,6.0,Y,Yes,49.0,2.0,2.0,80,1,3.0,3.0,4,1.0,1.0,1.0,1
34.0,Yes,Travel_Frequently,1073.0,Human Resources,11.0,4,Other,1,4319.0,3,Female,122,2.0,1,Laboratory Technician,2.0,Divorced,19182.0,211002.0,7.0,Y,Yes,32.0,2.0,1.0,80,3,12.0,6.0,1,10.0,9.0,9.0,7
59.0,No,Travel_Rarely,1265.0,Sales,40.0,5,Technical Degree,1,7888.0,2,Female,64,3.0,4,Human Resources,4.0,Single,22423.0,224230.0,7.0,Y,No,24.0,1.0,2.0,80,1,30.0,4.0,2,10.0,6.0,9.0,3
28.0,No,Travel_Frequently,1468.0,Research & Development,24.0,4,Human Resources,1,622.0,1,Male,59,3.0,4,Healthcare Representative,2.0,Married,4929.0,69006.0,6.0,Y,No,28.0,2.0,2.0,80,3,19.0,3.0,2,9.0,1.0,1.0,8
34.0,No,Travel_Frequently,511.0,Software,43.0,3,Human Resources,1,5017.0,2,Male,138,2.0,3,Research Scientist,1.0,Married,44491.0,622874.0,0.0,Y,Yes,7.0,3.0,1.0,80,2,40.0,5.0,2,18.0,10.0,13.0,12
26.0,No,Non-Travel,604.0,Support,45.0,1,Other,1,5550.0,1,Female,79,3.0,2,Manufacturing Director,4.0,Married,44253.0,1194831.0,0.0,Y,No,31.0,3.0,3.0,80,1,31.0,1.0,1,28.0,18.5,17.0,3
42.0,No,Travel_Frequently,326.0,Hardware,17.0,1,Life Sciences,1,249.0,4,Male,105,3.0,1,Laboratory Technician,4.0,Divorced,44010.0,704160.0,6.0,Y,Yes,5.0,3.0,4.0,80,3,22.0,3.0,4,9.0,5.0,6.0,6
22.0,Yes,Travel_Frequently,449.0,Support,10.0,1,Life Sciences,1,1735.0,3,Male,100,2.0,1,Developer,1.0,Married,49201.0,1313547.125,7.0,Y,No,8.0,2.0,3.0,80,1,4.0,1.0,3,2.0,2.0,2.0,1
53.0,Yes,Travel_Rarely,588.0,Research & Development,27.0,4,Human Resources,1,7199.0,1,Male,33,1.0,4,Manager,1.0,Married,48776.0,1268176.0,4.0,Y,No,31.0,4.0,1.0,80,2,10.0,4.0,4,8.0,4.0,2.0,2
51.0,Yes,Travel_Frequently,1345.0,Human Resources,13.0,1,Life Sciences,1,831.0,1,Female,169,3.0,5,Research Scientist,1.0,Divorced,27724.0,609928.0,1.0,Y,No,23.0,3.0,4.0,80,2,19.0,3.0,3,18.0,1.0,3.0,16
19.0,Yes,Travel_Frequently,894.0,Support,24.0,4,Medical,1,8923.0,2,Male,42,4.0,3,Sales Executive,2.0,Single,38922.0,505986.0,0.0,Y,No,49.0,3.0,2.0,80,2,10.0,2.0,2,6.0,4.0,4.0,2
32.0,No,Non-Travel,379.0,Sales,21.0,1,Human Resources,1,9915.0,1,Female,55,4.0,1,Healthcare Representative,3.0,Single,3457.0,31113.0,4.0,Y,Yes,27.0,3.0,4.0,80,3,33.0,5.0,4,27.0,11.0,17.0,11
35.0,Yes,Non-Travel,117.0,Human Resources,15.0,5,Human Resources,1,5607.0,2,Male,107,4.0,3,Manager,4.0,Single,3988.0,43868.0,0.0,Y,Yes,29.0,3.0,3.0,80,3,19.0,5.0,2,15.0,6.0,1.0,1
38.0,No,Travel_Rarely,1146.0,Software,44.0,1,Technical Degree,1,7414.0,1,Male,149,1.0,3,Healthcare Representative,2.0,Divorced,10533.0,263325.0,1.0,Y,No,43.0,4.0,3.0,80,4,12.0,5.0,1,6.0,3.0,3.0,6
47.0,Yes,Travel_Frequently,1177.0,Human Resources,49.0,2,Marketing,1,8565.0,1,Female,102,3.0,3,Human Resources,3.0,Married,24288.0,558624.0,1.0,Y,Yes,25.0,3.0,1.0,80,1,1.0,4.0,3,1.0,1.0,1.0,1
60.0,No,Travel_Rarely,423.0,Support,45.0,5,Technical Degree,1,2393.0,3,Female,152,4.0,4,Sales Representative,4.0,Married,14263.0,114104.0,6.0,Y,Yes,22.0,3.0,2.0,80,4,19.0,3.0,4,8.0,6.0,1.0,1
53.0,Yes,Travel_Rarely,1097.0,Human Resources,50.0,4,Life Sciences,1,8152.0,2,Male,129,4.0,1,Research Scientist,2.0,Divorced,7509.0,195234.0,6.0,Y,No,18.0,1.0,3.0,80,2,9.0,3.0,4,3.0,2.0,1.0,1
55.0,No,Travel_Frequently,326.0,Sales,24.0,2,Marketing,1,7328.0,3,Male,168,3.0,2,Research Scientist,1.0,Divorced,24587.0,196696.0,7.0,Y,Yes,46.0,1.0,2.0,80,2,2.0,1.0,1,1.0,1.0,1.0,1
46.0,No,Travel_Frequently,309.0,Research & Development,49.0,3,Human Resources,1,3471.0,3,Male,173,3.0,2,Human Resources,4.0,Divorced,12662.0,316550.0,2.0,Y,Yes,11.0,3.0,2.0,80,3,10.0,3.0,4,9.0,2.0,7.0,9
49.0,Yes,Travel_Rarely,248.0,Software,26.0,5,Medical,1,159.0,1,Female,67,3.0,4,Research Scientist,3.0,Married,5726.0,114520.0,4.0,Y,No,5.0,2.0,4.0,80,4,26.0,3.0,4,2.0,2.0,1.0,2
56.0,Yes,Travel_Rarely,1442.0,Support,10.0,3,Marketing,1,6755.0,3,Female,197,2.0,2,Manufacturing Director,3.0,Divorced,20700.0,227700.0,3.0,Y,Yes,36.0,4.0,1.0,80,2,18.0,3.0,3,1.0,1.0,1.0,1
51.0,No,Non-Travel,1297.0,Research & Development,34.0,4,Life Sciences,1,6645.0,4,Male,173,2.0,1,Laboratory Technician,4.0,Married,20343.0,61029.0,8.0,Y,No,42.0,3.0,2.0,80,2,33.0,1.0,4,21.0,14.0,6.0,3
38.0,No,Travel_Rarely,228.0,Software,27.0,1,Other,1,3925.0,3,Male,197,2.0,1,Manufacturing Director,2.0,Single,36075.0,793650.0,2.0,Y,Yes,33.0,1.0,1.0,80,2,1.0,3.0,2,1.0,1.0,1.0,1
34.0,No,Travel_Rarely,1486.0,Hardware,26.0,4,Medical,1,1253.0,4,Female,147,4.0,3,Human Resources,1.0,Divorced,29479.0,235832.0,1.0,Y,No,40.0,3.0,4.0,80,1,22.0,1.0,4,22.0,18.0,17.0,8
38.0,Yes,Non-Travel,166.0,Research & Development,3.0,1,Technical Degree,1,8235.0,2,Female,195,1.0,1,Manager,2.0,Married,43656.0,1047744.0,1.0,Y,No,29.0,3.0,4.0,80,2,10.0,6.0,1,10.0,4.0,9.0,6
44.0,Yes,Non-Travel,812.0,Support,50.0,5,Life Sciences,1,5729.0,3,Female,144,1.0,2,Research Director,4.0,Single,39124.0,586860.0,3.0,Y,No,18.0,1.0,1.0,80,1,11.0,6.0,1,1.0,1.0,1.0,1
39.0,Yes,Non-Travel,1120.0,Human Resources,18.0,4,Human Resources,1,4662.0,4,Male,40,2.0,3,Manufacturing Director,4.0,Divorced,7565.0,30260.0,7.0,Y,No,14.0,3.0,1.0,80,2,29.0,4.0,4,3.0,3.0,3.0,1
56.0,Yes,Non-Travel,1227.0,Software,40.0,1,Other,1,5765.0,2,Female,196,3.0,3,Manager,4.0,Married,23163.0,115815.0,0.0,Y,No,38.0,4.0,3.0,80,4,39.0,3.0,3,35.5,18.0,12.0,12
41.0,No,Non-Travel,1432.0,Human Resources,50.0,1,Medical,1,1538.0,1,Female,187,1.0,1,Manager,2.0,Single,43188.0,820572.0,5.0,Y,No,19.0,1.0,1.0,80,4,28.0,6.0,4,23.0,3.0,8.0,7
48.0,No,Travel_Frequently,908.0,Research & Development,33.0,4,Life Sciences,1,260.0,2,Female,58,3.0,2,Laboratory Technician,3.0,Married,40306.0,806120.0,2.0,Y,Yes,19.0,4.0,2.0,80,2,16.0,3.0,4,8.0,4.0,1.0,8
40.0,Yes,Travel_Rarely,506.0,Human Resources,12.0,1,Life Sciences,1,4494.0,4,Female,143,2.0,3,Sales Executive,3.0,Single,20317.0,325072.0,4.0,Y,Yes,35.0,4.0,3.0,80,3,36.0,2.0,1,9.0,6.0,1.0,9
46.0,No,Travel_Rarely,1372.0,Research & Development,37.0,5,Technical Degree,1,4573.0,2,Male,135,2.0,5,Sales Executive,3.0,Divorced,24101.0,578424.0,5.0,Y,Yes,20.0,2.0,2.0,80,1,14.0,5.0,3,5.0,5.0,3.0,1
33.0,No,Travel_Frequently,963.0,Hardware,38.0,3,Technical Degree,1,3885.0,3,Male,138,2.0,2,Healthcare Representative,2.0,Single,26221.0,288431.0,6.0,Y,Yes,8.0,3.0,1.0,80,2,1.0,5.0,3,1.0,1.0,1.0,1
26.0,Yes,Travel_Frequently,759.0,Sales,43.0,1,Human Resources,1,7531.0,3,Female,185,4.0,4,Sales Representative,2.0,Married,39793.0,716274.0,0.0,Y,No,49.0,3.0,1.0,80,4,4.0,3.0,1,3.0,2.0,2.0,1
32.0,Yes,Travel_Frequently,903.0,Software,46.0,3,Other,1,2301.0,4,Female,196,2.0,3,Manufacturing Director,2.0,Divorced,40241.0,1006025.0,4.0,Y,No,46.0,2.0,1.0,80,1,26.0,2.0,4,19.0,14.0,8.0,2
31.0,No,Travel_Rarely,375.0,Research & Development,30.0,4,Marketing,1,5663.0,3,Male,184,4.0,5,Healthcare Representative,1.0,Single,18708.0,224496.0,6.0,Y,Yes,15.0,4.0,4.0,80,2,22.0,3.0,1,11.0,9.0,11.0,4
40.0,Yes,Travel_Frequently,800.0,Support,30.0,4,Technical Degree,1,2602.0,2,Female,167,3.0,2,Human Resources,2.0,Divorced,12552.0,288696.0,7.0,Y,Yes,34.0,1.0,3.0,80,3,5.0,2.0,2,1.0,1.0,1.0,1
54.0,Yes,Non-Travel,992.0,Research & Development,9.0,5,Other,1,5367.0,1,Male,121,4.0,4,Laboratory Technician,2.0,Single,39198.0,391980.0,8.0,Y,Yes,44.0,1.0,4.0,80,1,23.0,3.0,3,19.0,17.0,14.0,9
35.0,No,Non-Travel,622.0,Research & Development,3.0,5,Technical Degree,1,1020.0,4,Female,87,1.0,1,Research Scientist,2.0,Married,33541.0,67082.0,6.0,Y,Yes,2.0,3.0,2.0,80,3,19.0,6.0,4,13.0,13.0,12.0,5
30.0,Yes,Travel_Rarely,376.0,Hardware,8.0,3,Technical Degree,1,5960.0,4,Male,170,4.0,1,Human Resources,1.0,Married,4252.0,72284.0,0.0,Y,Yes,6.0,4.0,2.0,80,2,5.0,6.0,1,1.0,1.0,1.0,1
37.0,Yes,Travel_Rarely,1130.0,Hardware,31.0,1,Technical Degree,1,1801.0,3,Female,30,4.0,1,Sales Executive,2.0,Single,28716.0,516888.0,1.0,Y,No,33.0,4.0,1.0,80,2,28.0,5.0,4,11.0,9.0,8.0,4
56.0,No,Travel_Rarely,562.0,Hardware,11.0,1,Technical Degree,1,135.0,1,Male,176,4.0,5,Laboratory Technician,3.0,Single,4951.0,128726.0,7.0,Y,No,30.0,4.0,2.0,80,1,19.0,4.0,1,13.0,13.0,8.0,5
49.0,Yes,Non-Travel,1478.0,Human Resources,20.0,4,Medical,1,7333.0,3,Female,32,4.0,3,Research Director,4.0,Single,14810.0,133290.0,5.0,Y,No,21.0,2.0,1.0,80,1,40.0,1.0,1,19.0,13.0,8.0,1
32.0,No,Travel_Rarely,1277.0,Support,15.0,3,Marketing,1,5958.0,3,Female,181,2.0,1,Healthcare Representative,1.0,Divorced,36351.0,545265.0,3.0,Y,Yes,3.0,3.0,1.0,80,3,11.0,5.0,1,6.0,2.0,5.0,2
19.0,No,Non-Travel,1386.0,Research & Development,4.0,3,Life Sciences,1,7549.0,2,Male,105,2.0,1,Sales Representative,4.0,Single,44258.0,973676.0,2.0,Y,No,20.0,4.0,2.0,80,4,30.0,6.0,1,20.0,3.0,10.0,4
60.0,No,Travel_Frequently,519.0,Hardware,39.0,3,Technical Degree,1,8121.0,1,Male,146,1.0,1,Developer,3.0,Married,21536.0,279968.0,4.0,Y,No,44.0,3.0,4.0,80,3,14.0,2.0,2,12.0,7.0,5.0,3
37.0,No,Non-Travel,508.0,Hardware,17.0,5,Life Sciences,1,6532.0,2,Male,175,2.0,5,Human Resources,4.0,Married,38420.0,614720.0,4.0,Y,Yes,8.0,3.0,4.0,80,2,22.0,3.0,2,11.0,9.0,3.0,2
46.0,No,Non-Travel,1248.0,Software,25.0,2,Life Sciences,1,4659.0,1,Male,188,3.0,5,Research Scientist,4.0,Single,11026.0,121286.0,1.0,Y,No,21.0,2.0,3.0,80,3,24.0,1.0,2,10.0,1.0,4.0,4
51.0,No,Travel_Frequently,1485.0,Software,18.0,3,Other,1,2512.0,1,Male,62,1.0,4,Manufacturing Director,1.0,Married,19692.0,492300.0,3.0,Y,No,31.0,2.0,1.0,80,1,23.0,1.0,4,3.0,2.0,3.0,1
41.0,Yes,Travel_Rarely,711.0,Hardware,49.0,5,Human Resources,1,9892.0,4,Male,77,3.0,3,Manufacturing Director,1.0,Divorced,17466.0,384252.0,0.0,Y,Yes,24.0,4.0,2.0,80,3,9.0,1.0,3,7.0,4.0,5.0,2
37.0,No,Travel_Frequently,108.0,Software,25.0,1,Human Resources,1,9403.0,4,Female,91,4.0,1,Healthcare Representative,4.0,Divorced,7066.0,98924.0,5.0,Y,Yes,26.0,3.0,1.0,80,4,24.0,6.0,3,1.0,1.0,1.0,1
30.0,Yes,Travel_Rarely,636.0,Software,34.0,5,Marketing,1,3602.0,2,Male,64,1.0,1,Research Scientist,1.0,Single,16992.0,118944.0,6.0,Y,No,42.0,4.0,4.0,80,1,32.0,3.0,3,4.0,1.0,1.0,1
24.0,No,Travel_Rarely,1380.0,Research & Development,14.0,2,Other,1,602.0,4,Male,44,4.0,1,Human Resources,4.0,Divorced,36026.0,288208.0,5.0,Y,No,0.0,3.0,2.0,80,3,25.0,2.0,1,2.0,1.0,1.0,1
30.0,No,Travel_Frequently,318.0,Human Resources,7.0,1,Marketing,1,6972.0,3,Male,105,4.0,5,Manufacturing Director,3.0,Single,9390.0,234750.0,3.0,Y,No,45.0,2.0,2.0,80,2,34.0,6.0,1,10.0,6.0,10.0,6
36.0,Yes,Travel_Rarely,854.0,Hardware,14.0,1,Marketing,1,9693.0,1,Male,110,3.0,1,Research Scientist,4.0,Single,16750.0,335000.0,5.0,Y,Yes,12.0,2.0,2.0,80,2,7.0,5.0,2,3.0,2.0,2.0,3
59.0,No,Non-Travel,1241.0,Support,46.0,1,Technical Degree,1,6725.0,4,Female,56,4.0,3,Sales Representative,2.0,Married,19337.0,348066.0,0.0,Y,Yes,11.0,2.0,4.0,80,3,29.0,4.0,1,28.0,11.0,17.0,27
52.0,No,Travel_Rarely,327.0,Support,40.0,5,Other,1,8581.0,4,Male,190,3.0,3,Research Scientist,2.0,Single,46010.0,1288280.0,2.0,Y,Yes,30.0,4.0,3.0,80,1,20.0,4.0,1,7.0,5.0,7.0,2
47.0,Yes,Non-Travel,229.0,Support,30.0,5,Technical Degree,1,1746.0,1,Male,99,2.0,5,Manufacturing Director,4.0,Married,36957.0,554355.0,4.0,Y,Yes,41.0,1.0,3.0,80,4,19.0,1.0,1,5.0,2.0,1.0,4
50.0,No,Non-Travel,933.0,Software,47.0,4,Technical Degree,1,4441.0,2,Male,111,4.0,2,Laboratory Technician,1.0,Divorced,33569.0,503535.0,8.0,Y,Yes,11.0,4.0,1.0,80,1,30.0,1.0,4,7.0,3.0,5.0,3
59.0,No,Travel_Frequently,449.0,Human Resources,20.0,2,Life Sciences,1,9665.0,1,Female,64,2.0,3,Human Resources,4.0,Married,39743.0,635888.0,0.0,Y,No,35.0,2.0,2.0,80,4,17.0,5.0,2,12.0,12.0,9.0,4
54.0,No,Travel_Rarely,253.0,Research & Development,9.0,1,Marketing,1,5318.0,3,Female,170,3.0,3,Sales Representative,1.0,Married,13865.0,194110.0,6.0,Y,No,33.0,2.0,1.0,80,4,26.0,3.0,2,24.0,1.0,8.0,13
35.0,Yes,Non-Travel,477.0,Support,34.0,1,Life Sciences,1,5043.0,4,Male,138,1.0,5,Manager,1.0,Married,6916.0,6916.0,6.0,Y,Yes,34.0,3.0,3.0,80,4,2.0,3.0,2,2.0,1.0,1.0,1
51.0,No,Travel_Frequently,274.0,Sales,15.0,5,Technical Degree,1,9159.0,4,Male,53,2.0,2,Sales Representative,3.0,Married,49304.0,1084688.0,6.0,Y,Yes,25.0,4.0,1.0,80,1,40.0,5.0,2,27.0,8.0,17.0,12
31.0,No,Travel_Rarely,1226.0,Software,26.0,4,Marketing,1,2666.0,2,Female,99,1.0,4,Developer,3.0,Single,3053.0,91590.0,1.0,Y,No,42.0,2.0,1.0,80,1,12.0,5.0,3,9.0,6.0,7.0,1
51.0,No,Travel_Rarely,1406.0,Software,36.0,5,Marketing,1,7121.0,1,Female,42,3.0,4,Manager,3.0,Married,8386.0,25158.0,3.0,Y,No,44.0,4.0,3.0,80,1,2.0,1.0,1,1.0,1.0,1.0,1
83.0,Yes,Travel_Frequently,1091.0,Support,15.0,3,Other,1,2729.0,2,Female,179,3.0,1,Sales Representative,3.0,Divorced,27259.0,572439.0,8.0,Y,No,25.0,2.0,3.0,80,1,26.0,3.0,1,22.0,9.0,17.0,21
57.0,No,Travel_Frequently,912.0,Research & Development,19.0,1,Technical Degree,1,4729.0,3,Male,117,3.0,4,Developer,1.0,Divorced,45274.0,1312946.0,8.0,Y,Yes,15.0,1.0,4.0,80,4,28.0,6.0,4,27.0,6.0,3.0,13
48.0,Yes,Non-Travel,1376.0,Human Resources,19.0,3,Technical Degree,1,227.0,3,Male,156,3.0,2,Manager,3.0,Single,29810.0,655820.0,4.0,Y,No,3.0,1.0,2.0,80,1,37.0,4.0,4,29.0,10.0,3.0,22
59.0,Yes,Non-Travel,1398.0,Software,43.0,2,Life Sciences,1,4936.0,1,Female,105,3.0,2,Laboratory Technician,3.0,Married,21296.0,404624.0,7.0,Y,No,49.0,2.0,3.0,80,3,6.0,6.0,4,1.0,1.0,1.0,1
19.0,No,Non-Travel,632.0,Hardware,16.0,3,Human Resources,1,4245.0,2,Male,136,1.0,4,Manager,2.0,Divorced,43617.0,1221276.0,6.0,Y,No,22.0,3.0,4.0,80,2,12.0,4.0,3,9.0,2.0,1.0,3
42.0,Yes,Travel_Rarely,290.0,Human Resources,3.0,1,Human Resources,1,8936.0,3,Female,163,4.0,2,Human Resources,4.0,Divorced,35901.0,323109.0,0.0,Y,Yes,13.0,3.0,4.0,80,1,21.0,5.0,2,5.0,5.0,1.0,5
43.0,Yes,Travel_Rarely,1424.0,Research & Development,35.0,1,Marketing,1,3082.0,3,Female,143,3.0,3,Research Director,3.0,Married,22262.0,311668.0,8.0,Y,Yes,26.0,2.0,1.0,80,2,29.0,1.0,1,19.0,14.0,14.0,6
56.0,Yes,Travel_Rarely,1158.0,Human Resources,22.0,1,Medical,1,9407.0,1,Female,58,4.0,5,Sales Executive,2.0,Single,12121.0,266662.0,8.0,Y,Yes,29.0,4.0,4.0,80,3,33.0,5.0,4,28.0,18.5,8.0,11
44.0,No,Non-Travel,1204.0,Research & Development,17.0,1,Medical,1,1917.0,2,Male,64,3.0,1,Research Director,3.0,Single,14728.0,103096.0,6.0,Y,No,47.0,3.0,4.0,80,2,21.0,2.0,4,7.0,5.0,6.0,7
31.0,Yes,Non-Travel,1114.0,Hardware,48.0,4,Other,1,6363.0,3,Female,80,2.0,5,Sales Representative,1.0,Divorced,29426.0,29426.0,1.0,Y,No,11.0,2.0,2.0,80,1,20.0,4.0,2,8.0,2.0,3.0,4
60.0,Yes,Non-Travel,221.0,Software,11.0,3,Life Sciences,1,9589.0,1,Female,189,2.0,1,Sales Executive,3.0,Single,14361.0,28722.0,2.0,Y,Yes,8.0,1.0,1.0,80,3,34.0,5.0,1,13.0,6.0,13.0,13
52.0,No,Non-Travel,334.0,Hardware,15.0,3,Human Resources,1,2093.0,1,Female,137,2.0,4,Manager,1.0,Single,21694.0,455574.0,5.0,Y,Yes,39.0,3.0,4.0,80,3,38.0,4.0,2,35.0,14.0,17.0,18
48.0,No,Non-Travel,968.0,Research & Development,5.0,2,Life Sciences,1,7951.0,4,Male,44,4.0,4,Research Director,3.0,Married,4420.0,17680.0,7.0,Y,No,14.0,4.0,2.0,80,2,20.0,5.0,3,11.0,2.0,3.0,7
35.0,Yes,Travel_Rarely,1400.0,Human Resources,25.0,4,Life Sciences,1,50.0,3,Female,150,4.0,1,Sales Representative,4.0,Divorced,35309.0,918034.0,5.0,Y,No,20.0,3.0,4.0,80,2,38.0,3.0,2,26.0,17.0,11.0,12
59.0,Yes,Travel_Frequently,615.0,Hardware,41.0,5,Human Resources,1,3612.0,1,Female,113,4.0,1,Laboratory Technician,4.0,Married,8033.0,8033.0,4.0,Y,No,34.0,1.0,2.0,80,4,38.0,1.0,3,35.5,3.0,7.0,29
43.0,Yes,Non-Travel,690.0,Software,28.0,1,Life Sciences,1,3817.0,4,Female,119,4.0,4,Healthcare Representative,4.0,Divorced,34670.0,485380.0,7.0,Y,No,31.0,3.0,3.0,80,1,38.0,2.0,1,33.0,8.0,17.0,27
47.0,Yes,Non-Travel,551.0,Software,25.0,3,Life Sciences,1,5625.0,1,Male,60,2.0,4,Human Resources,3.0,Divorced,37363.0,635171.0,7.0,Y,Yes,25.0,4.0,3.0,80,1,26.0,3.0,1,24.0,18.5,13.0,15
47.0,Yes,Travel_Frequently,480.0,Sales,15.0,3,Technical Degree,1,6814.0,3,Female,166,4.0,2,Developer,3.0,Divorced,42788.0,599032.0,0.0,Y,Yes,18.0,3.0,4.0,80,2,39.0,1.0,1,14.0,1.0,12.0,1
28.0,No,Non-Travel,323.0,Human Resources,36.0,1,Life Sciences,1,5968.0,3,Female,35,3.0,2,Sales Representative,2.0,Divorced,50144.0,1203456.0,0.0,Y,No,37.0,4.0,3.0,80,3,4.0,4.0,1,1.0,1.0,1.0,1
21.0,No,Travel_Rarely,500.0,Support,42.0,5,Technical Degree,1,2880.0,1,Female,63,2.0,4,Developer,3.0,Married,41265.0,660240.0,1.0,Y,No,31.0,1.0,4.0,80,2,22.0,5.0,3,11.0,4.0,8.0,8
26.0,No,Travel_Rarely,885.0,Research & Development,23.0,5,Life Sciences,1,7090.0,2,Male,37,1.0,2,Sales Executive,1.0,Single,17774.0,231062.0,3.0,Y,No,8.0,2.0,4.0,80,3,13.0,1.0,1,2.0,2.0,2.0,2
53.0,No,Travel_Frequently,1313.0,Software,20.0,4,Medical,1,8862.0,1,Male,45,4.0,4,Sales Representative,4.0,Divorced,29550.0,118200.0,3.0,Y,No,21.0,2.0,1.0,80,2,33.0,3.0,2,14.0,6.0,11.0,14
49.0,Yes,Travel_Frequently,1485.0,Sales,30.0,3,Medical,1,271.0,2,Male,82,3.0,4,Research Scientist,2.0,Single,48516.0,145548.0,2.0,Y,Yes,29.0,1.0,3.0,80,2,23.0,1.0,4,14.0,1.0,5.0,10
